,pro handle,summoner name,summoner id
0,chaser,Chasér,83089576
1,pobelter,Pobelter,2648
2,pobelter,Hero Kenzan,51409228
3,Ray,C9 Ray,77179274
4,Ray,C9 Sword,77799096
5,Arrow,NotMyMvp,87119170
6,Arrow,Arrowp1,85269313
7,Arrow,Arrowlol,84649274
8,Arrow,League Of Arrow,83339085
9,Akaadian,Akaadian4,79420232
10,Akaadian,im hydrated bro,84879145
11,Akaadian,kushkaadian,65809586
12,aphromoo,aphromoo,442232
13,apollo,Apollo Price,7250
14,apollo,Pretty Raheem,51589239
15,balls,C9 Balls,19238304
16,balls,never lucky help,19203113
17,Big,bat8man,19577112
18,biofrost,Biofrost,22478427
19,biofrost,TSM SlGHTSTONE,66401633
20,Bjergsen,Søren Bjerg,49159160
21,Bjergsen, qldurtms,50759139
22,Cody Sun,Deep Learning,170340
23,Cody Sun,Cody Sun,20533841
24,Contractz,Contractz,32932398
25,Dardoch,10April,76932635
26,Dardoch,Mitsuha Itomori,29595436
27,Dardoch,dardoch iwnl,71701144
28,Dardoch,clg dd,80659088
29,Darshan,ZlONSPARTAN,19738326
30,Darshan, oceP,44989312
31,Doublelift,Doublelift,20132258
32,Doublelift,Peng Yiliang,44979328
33,Flame,flameflameflame,82789571
34,Froggen,Anivia Kid,71899217
35,Gate,chelly,69709179
36,Goldenglue,goldenglue,21490433
37,Goldenglue,goldengluee,57029178
38,Hai,FlyQ Hai,492066
39,Hai,FIy Hai,44989364
40,Hakuho,Hakuho,21193669
41,Hauntzer,FindPurpose,65399100
42,Huhi,Huhi,61542283
43,Impact,19950307,65389099
44,Jensen,good player95,68479082
45,Jensen,C9 Jensen,68479258
46,Keane,enaek,57019107
47,Keane,Keańe,57039082
48,Keane,Keané,65389101
49,Keith,keith xd,31670053
50,LemonNation,Emon,19302712
51,LemonNation,FLY Lemon,44979325
52,LOD,Benji Hendrix,20001980
53,LOD,604 8 2 2,57539163
54,LOD,LOD,19884671
55,Looper,hyungseokking,83039568
56,Lourlo,Liquid Lourlo,19061980
57,Lourlo,Liquid Ezra,19732914
58,Lourlo,Lourlo,564332
59,Lourlo,only exception,39723141
60,Matt,Liquid Matt,39040566
61,MikeYeung,MikeYeung,81859385
62,Moon,vegan player1906,70011915
63,Olleh,Humble Diligent,83339123
64,Piglet,Liquid Piglet,62374009
65,Pirean,Nv Pirean,73469341
66,Reignover,TWTFSSM,72749306
67,Reignover,Laners Dog,73759393
68,Ryu,ChiNa N0 1,83179090
69,Ryu,Captain of NA,23802270
70,Seraph,EnVy kina,56039199
71,Seraph,kina,68211391
72,Smoothie,C9 Smoothie,20823651
73,Smoothie,Smoothie,47594464
74,Sneaky,C9 Gun,44989337
75,Sneaky,C9 Sneaky,51405
76,Ssumday,Ssumdayday,83089575
77,Stixxay,Stixxay,73759385
78,Stixxay,stix iwnl,31014009
79,Svenskeren,intrudr,72219088
80,Svenskeren,onlyW,73170218
81,WildTurtle,WildTurtle,521955
82,WildTurtle,FZ3R0,42060215
83,Xmithie,Xmithie,19761072
84,Xpecial,Xpecial,19199530
85,Xpecial,Only Sometimes,44989320
86,zig,Winnable,19787999
